acu_pos: 0.6040556363049095, acu_neg: 0.5338444223573433, acu:0.5525063315590659
acu_pos: 0.5378007913436692, acu_neg: 0.6093567294200187, acu:0.590337396978022
acu_pos: 0.6011890342377261, acu_neg: 0.5559847111786717, acu:0.5679998712225275
acu_pos: 0.5719173934108527, acu_neg: 0.5902895521515436, acu:0.5854062929258241
acu_pos: 0.6121810400516796, acu_neg: 0.5521698140785781, acu:0.568120600103022
acu_pos: 0.5921047319121447, acu_neg: 0.5757644410664172, acu:0.5801076365041209
acu_pos: 0.6321665051679587, acu_neg: 0.5407982050982226, acu:0.5650835980425825
acu_pos: 0.6829477551679587, acu_neg: 0.49226423643592143, acu:0.5429472870879121
acu_pos: 0.6572391795865633, acu_neg: 0.5218077642656689, acu:0.5578049879807693
acu_pos: 0.5515079941860465, acu_neg: 0.6267283968662302, acu:0.6067350618131868
acu_pos: 0.6311975129198967, acu_neg: 0.551446299111319, acu:0.5726439088255495
acu_pos: 0.6764272448320413, acu_neg: 0.5062631548175865, acu:0.5514922089629121
acu_pos: 0.6349725452196382, acu_neg: 0.5503208313844715, acu:0.5728209778502747
acu_pos: 0.5730882590439277, acu_neg: 0.6111874415341441, acu:0.601060804429945
acu_pos: 0.5584625322997416, acu_neg: 0.6267612839101965, acu:0.6086077008928571
